avg_max,avg_min,work_day,power
22.066666666666666,16.066666666666666,1,30264
22.333333333333332,16.4,1,30286
22.6,16.666666666666668,1,30863
23.0,17.466666666666665,1,30417
24.8,16.6,0,27797
24.6,15.733333333333333,0,26205
20.8,15.6,1,30241
22.866666666666667,16.6,1,30751
23.266666666666666,17.0,1,30992
23.266666666666666,17.066666666666666,1,31020
21.4,13.133333333333333,1,29970
18.133333333333333,14.533333333333333,0,26942
19.666666666666668,16.733333333333334,0,26086
20.2,17.4,1,30384
20.533333333333335,18.133333333333333,1,30748
20.933333333333334,17.866666666666667,1,30761
21.6,18.0,1,31017
21.666666666666668,15.8,1,30200
19.066666666666666,13.866666666666667,0,27288
16.0,13.133333333333333,0,26572
15.8,12.866666666666667,1,30287
18.933333333333334,15.0,1,29973
19.266666666666666,14.133333333333333,1,29913
18.4,13.666666666666666,1,29036
21.266666666666666,14.0,1,26443
18.666666666666668,14.4,0,25661
20.266666666666666,14.266666666666667,0,25915
20.933333333333334,14.933333333333334,0,29976
21.933333333333334,15.933333333333334,1,30330
20.866666666666667,16.133333333333333,1,30449
20.133333333333333,15.133333333333333,1,30276
17.933333333333334,14.4,1,29962
19.666666666666668,14.4,0,27356
19.066666666666666,14.266666666666667,0,26562
19.333333333333332,12.733333333333333,1,30205
16.333333333333332,12.2,1,30464
15.266666666666667,12.733333333333333,1,30206
16.4,11.733333333333333,1,30167
17.333333333333332,13.333333333333334,1,29843
19.933333333333334,14.6,0,27792
20.6,15.333333333333334,0,26793
19.0,15.8,1,30586
18.333333333333332,15.4,1,30609
19.666666666666668,15.0,1,30317
20.066666666666666,15.733333333333333,1,30620
18.866666666666667,16.133333333333333,1,30743
19.133333333333333,16.733333333333334,0,29486
21.533333333333335,16.733333333333334,0,27161
19.266666666666666,16.4,1,30310
19.666666666666668,16.0,1,30007
20.866666666666667,16.266666666666666,1,30050
21.2,16.0,1,29406
18.6,15.8,1,27653
17.2,13.133333333333333,1,26219
15.933333333333334,12.0,1,25107
17.333333333333332,14.733333333333333,0,23121
18.133333333333333,15.266666666666667,0,22881
19.666666666666668,15.733333333333333,0,22967
18.6,14.466666666666667,0,23955
17.333333333333332,12.733333333333333,0,24691
17.0,12.333333333333334,0,25315
18.333333333333332,13.333333333333334,0,25883
19.8,14.466666666666667,1,29753
18.4,14.733333333333333,1,29989
18.666666666666668,14.0,1,30269
19.0,14.6,1,30379
20.6,16.266666666666666,1,30165
19.666666666666668,15.266666666666667,0,28017
20.333333333333332,14.133333333333333,0,27038
17.333333333333332,13.0,1,30572
19.0,13.466666666666667,1,30598
17.666666666666668,13.2,1,30491
19.333333333333332,15.4,1,30800
20.0,15.0,1,30625
17.6,10.466666666666667,0,28391
12.733333333333333,10.466666666666667,0,28434
15.666666666666666,12.8,1,31361
17.133333333333333,13.533333333333333,1,30977
15.533333333333333,12.733333333333333,1,31318
18.133333333333333,12.733333333333333,1,31098
19.933333333333334,14.0,1,30121
20.333333333333332,14.266666666666667,0,27822
22.066666666666666,14.6,0,26196
23.6,15.933333333333334,1,27337
